year,date,carrier,origin_city,destination,dep_delay,arr_delay,cancelled,diverted,air_time,distance
2017,2017/1/5,VX,New York,San Francisco,-6,8,NO,NO,368,2586
2017,2017/1/6,VX,San Francisco,New York,-5,11,NO,NO,291,2586
2017,2017/1/6,VX,Dallas,New York,-10,12,NO,NO,163,1381
2017,2017/1/8,VX,Los Angeles,New York,63,14,NO,NO,279,2475
2017,2017/1/9,VX,Los Angeles,New York,63,44,NO,NO,276,2475
2017,2017/1/4,WN,Atlanta,New York,0,4,NO,NO,93,762
2017,2017/1/4,WN,Houston,New York,118,5,NO,NO,162,1428
2017,2017/1/24,AA,New York,Los Angeles,-11,13,NO,NO,353,2475
2017,2017/1/19,AA,Los Angeles,New York,-9,12,NO,NO,280,2475
2017,2017/1/21,AA,New York,Los Angeles,-8,5,NO,NO,340,2475
2017,2017/1/15,AA,Los Angeles,New York,96,12,NO,NO,292,2475
2017,2017/1/11,AA,New York,San Francisco,-5,12,NO,NO,422,2586
2017,2017/1/8,AA,Los Angeles,New York,-4,7,NO,NO,284,2475
2017,2017/1/2,AA,San Francisco,New York,11,14,NO,NO,276,2586
2017,2017/1/1,AA,New York,San Francisco,-1,3,NO,NO,366,2586
2017,2017/1/1,AA,San Francisco,New York,-6,8,NO,NO,286,2586
2017,2017/1/4,AA,New York,Los Angeles,-3,8,NO,NO,362,2475
2017,2017/1/24,AA,San Francisco,New York,-6,6,NO,NO,295,2586
2017,2017/1/19,AA,New York,Los Angeles,-7,4,NO,NO,317,2475
2017,2017/1/6,AA,New York,Los Angeles,7,8,NO,NO,365,2475
2017,2017/1/16,AA,Los Angeles,New York,-4,5,NO,NO,284,2475
2017,2017/1/25,AA,Los Angeles,New York,3,14,NO,NO,277,2475
2017,2017/1/23,AA,Los Angeles,New York,35,14,NO,NO,293,2475
2017,2017/1/17,AA,New York,Los Angeles,0,37,NO,NO,340,2475
2017,2017/1/11,AA,Los Angeles,New York,5,7,NO,NO,279,2475
2017,2017/1/3,AA,San Francisco,New York,-5,15,NO,NO,280,2586
